Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Average high °F,23.1,26.6,33.9,44.5,56,62.8,65.4,63.5,55.1,40.5,27.8,24.8
Average low °F (°C),11.1,13.8,19.2,29.1,39.6,47.7,52.2,50,42,29.1,16.6,13.2
