Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Average high °F,33.2,38.8,49.8,58.5,67.3,75.2,85.9,84.9,73.1,57.8,41.5,31
Average low °F,18.3,21.2,27.7,32.8,39.8,46.6,51.4,50.1,41.8,32.4,24.9,16.7
